<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: ARTOO_Source_Traceability.csv>
index,source,filename,line,section,subsection,source_requirement,contract_id,capability,phase,status,interaction_contract,limits_and_dependencies,acceptance_evidence
0,S1,artoo-product-requirements-doc.md,11,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Static Image Visualization: Overlay tattoos on uploaded photos with precise placement,CAP-001,Static Image Visualization,F,Retained source requirement; detailed behavior/phase is proposed,"Upload a body image, choose the target region, add a transparent design and manipulate it on a locked photo; show fit, mask and calibration controls beside the result.",Preserve the original photo; label manual/assisted fit and uncalibrated size.,"Save and reopen two placements with identical orientation, scale, masks and source revision."
1,S1,artoo-product-requirements-doc.md,12,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Skin Contour Mapping: Ensure tattoos precisely follow natural body curves and skin textures,CAP-002,Skin Contour Mapping; Angle Warping,F/R,Retained source requirement; detailed behavior/phase is proposed,"Propose a region surface/warp, preview control mesh and allow anchor correction; update projection as the user changes design orientation, including wrap-around layouts.",A planar transform is not sufficient for arbitrary curved skin; flag unsupported/unseen surfaces and self-intersections.,A sleeve fixture stays continuous across supported views and seams; anchor edits change geometry rather than only overlay position.
2,S1,artoo-product-requirements-doc.md,13,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Realistic Relighting: Tattoo adapts to match lighting conditions in the original image,CAP-003,Realistic Relighting; Lighting Condition Simulation; Dynamic Lighting Studio; Time-of-Day Simulation,X,Retained source requirement; detailed behavior/phase is proposed,"Choose original lighting or named light rigs; adjust direction, strength, warmth and contrast with original/preview comparison and saved settings.",Camera exposure and material assumptions remain visible; avoid modifying the source artwork palette silently.,"Switching light presets alters shading consistently while preserving design shape, selected ink values and repeatable scenario parameters."
3,S1,artoo-product-requirements-doc.md,14,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Angle Warping: Tattoo perspective adjusts to match viewing angle for natural appearance,CAP-002,Skin Contour Mapping; Angle Warping,F/R,Retained source requirement; detailed behavior/phase is proposed,"Propose a region surface/warp, preview control mesh and allow anchor correction; update projection as the user changes design orientation, including wrap-around layouts.",A planar transform is not sufficient for arbitrary curved skin; flag unsupported/unseen surfaces and self-intersections.,A sleeve fixture stays continuous across supported views and seams; anchor edits change geometry rather than only overlay position.
4,S1,artoo-product-requirements-doc.md,15,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Live AR Visualization: Real-time camera feed tattoo placement,CAP-004,Live AR Visualization; AR Anchoring,X,Retained source requirement; detailed behavior/phase is proposed,"Select camera/body region, acquire tracking, attach placement, show confidence, lock/unlock, pause for editing and capture; retain full shared tool access.","Denial, unsupported camera, occlusion and track loss produce recoverable states; remote processing requires consent.",Camera denial recovers to photo/avatar; controlled motion and occlusion meet the supported-device tracking gate without floating artwork.
5,S1,artoo-product-requirements-doc.md,16,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Recorded Video AR: Capture and save AR visualization sessions,CAP-005,Recorded Video AR,X,Retained source requirement; detailed behavior/phase is proposed,"Record or import video, trim a range, track the chosen region, inspect frame failures, correct keyframes, compare versions and export a timestamped clip.","Detect scene cuts and variable frame rate; unsupported frames remain marked, not interpolated as reliable observations.",A clip with occlusion/cut retains edits and timestamps; exporting and reopening never applies a later-frame correction to the wrong frame.
6,S1,artoo-product-requirements-doc.md,17,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Ink Representation: Accurate rendering across all skin types and tones,CAP-006,Ink Representation; Skin Tone Adaptation,F/R,Retained source requirement; detailed behavior/phase is proposed,Display tattoo colors over a diverse skin reference set using explicit blend/material parameters; keep selected ink palette separate from display adaptation.,Do not infer ethnicity or claim calibrated real-ink response from a screen preview.,Review color/contrast preservation across consented skin-tone and lighting fixtures; record per-group failure rates and uncertainty.
7,S1,artoo-product-requirements-doc.md,18,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Image Size Standardization: Normalize tattoo designs regardless of source dimensions,CAP-007,Image Size Standardization,F,Retained source requirement; detailed behavior/phase is proposed,"Read decoded pixel dimensions, orientation, profile and alpha; create optimized preview assets while retaining original resolution and aspect ratio.","Normalization changes working representation, not silently the requested physical tattoo size.","Portrait EXIF images, huge transparent PNGs and mixed-DPI imports retain correct orientation, proportions and source originals."
8,S1,artoo-product-requirements-doc.md,19,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Background Removal Solution: Either automated processing or clear user guidance,CAP-008,Background Removal Solution,F,Retained source requirement; detailed behavior/phase is proposed,Inspect transparency on upload; run chosen remover when needed; show checkerboard and body preview with add/subtract mask refinement and restore original.,Preserve intentional white ink and partial alpha; never treat a PNG extension or success toast as proof of removal.,"White-background JPEG, white-ink PNG and feathered strokes export with correct alpha and survive re-import."
9,S1,artoo-product-requirements-doc.md,20,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Segmentation and Color Variation: Allow users to modify design segments and colors,CAP-009,Segmentation and Color Variation,F/X,Retained source requirement; detailed behavior/phase is proposed,"Select a component by click, box, brush or optional description; refine/invert/feather its mask, recolor or move it into an independent layer.",Model output is an editable proposal; show no-result/ambiguous selection and preserve all unselected art.,"Select one petal in a multicolor design, recolor only that petal, undo, save and reopen with the mask intact."
